name,ifpa_id,matchplay_user_id
Adam Abeyta,64521,8089
Allison O'Neill,19302,181
Alyce Kalmar,57833,
Andy Steinhauser,23707,2180
Bennett Schatz,64518,8181
Brandy Thompson,40156,1844
Brian O'Neill,19301,184
Brian ONeill,19301,184
Bryn Garrehy,64509,
Cassie Barnes,57363,6069
Christian Gainsley,52910,3241
Danny Zhang,44734,1667
Darren Ensley,12117,424
Das DAmico,39717,566
David Elrod,67963,11291
David Lee,12216,162
David Ortega,45894,2469
David Volansky,16705,
Daylene Langum,45061,1760
Derek Lipin,33048,86
Eddie Codel,25476,1114
Emily Palmer,53002,11289
Eric Wagensonner,8855,156
Gabe da Silveira,18245,2075
Gen Egea,38597,468
Gene X Hwang,13052,9
Gilbert Amar,62268,7871
Gina Collecchia,72629,11357
Greg Creech,44319,2961
Guilhem Lascaux,,
Jack Morrow,,
James Barron,10686,7624
James Squires,10751,547
Jamie Uziel,29804,559
Janel Valdez,45062,1761
Jared Garvey,35784,135
Jeremy Herrman,22175,927
John Cena,24766,1171
Jon Olkowski,6189,2933
Jordan Lay,70684,9446
Jose Godinez,38603,943
Julie Driscoll,51806,3216
Justin Guevara,67154,5286
Kevin Lewis,2331,4417
Leslie Ruckman,47411,4451
Lisa Ramon,26698,363
Louise Wagensonner,19305,677
Luke Baxter,48658,2874
Manu Smith,36767,7691
Matt Willmarth,10662,962
Matthew Henri,16767,2152
Maura Devereux,25487,2142
Megan Doak,,
Meghan Long,40488,675
Mike Villarreal,30082,790
Nate Robinson,25465,2159
Nicholas Sternhagen,,
Nick Yahnke,44733,1627
Noah Wallach,55160,2530
Oli Notteghem,53565,3874
Per Schwarzenberger,12220,2
Peter Soriano,41564,970
Rachel Winn,,
Russ Sweetser,19312,464
Ryan Blumenthal,19313,2030
Ryan O'Donnell,47679,4747
Ryan Wooley,25460,2172
Shannon Sweetser,386390,2293
Stacey Miller,53214,5306
Susie Wasserstrom,40436,535
Terri Lynn Delk,41210,706
Tom Collins,12378,6963
Tom Miller,53128,4125
Veronica Grisham,68696,9419
Zac Wollons,21965,41
Zack Desario,44053,3127
